route_id,route_shor,trip_id,trip_heads,trip_short,direction_,agency_id,headway_se,O_TERMINAL,LEN_KM,STD_FARE,route_time_s,buses,standard_buses
CTA_1-1140,1-1140,CTA_1-1140_R,Imbaba,Moneeb-Imbaba,1,CTA,6688.0,Moneeb,24.034205150993305,3.0,11444.859595711097,5.0,4.0
CTA_1-1140,1-1140,CTA_1-1140_O,Moneeb,Imbaba-Moneeb,0,CTA,6688.0,Imbaba,19.926859978845226,3.0,9488.980942307251,4.0,4.0
CTA_1002,1002,CTA_1002_R,Matbaa,Masaken Ain Shams-Matbaa,1,CTA,1644.0,Masaken Ain Shams,41.86095254819283,4.0,19933.78692771087,29.0,26.0
CTA_1002,1002,CTA_1002_O,Masaken Ain Shams,Matbaa-Masaken Ain Shams,0,CTA,1644.0,Matbaa,37.05715665292347,4.0,17646.2650728207,26.0,26.0
CTA_1003,1003,CTA_1003_O,Bulaq Al Dakrur,Cairo Airport-Bulaq Al Dakrur,0,CTA,4270.0,Cairo Airport,41.049287686038745,3.0,19547.27985049464,11.0,11.0
CTA_1003,1003,CTA_1003_R,Cairo Airport,Bulaq Al Dakrur-Cairo Airport,1,CTA,4270.0,Bulaq Al Dakrur,41.50322767501426,3.0,19763.441750006787,11.0,11.0
CTA_1004,1004,CTA_1004_O,Attaba,Isbiko-Attaba,0,CTA,4619.0,Isbiko,32.63417604505374,4.0,15540.08383097797,8.0,8.0
CTA_1004,1004,CTA_1004_R,Isbiko,Attaba-Isbiko,1,CTA,4619.0,Attaba,32.116797926391065,4.0,15293.713298281458,8.0,8.0
CTA_1005,1005,CTA_1005_O,Obour Market,Dawaran Shubra-Obour Market,0,CTA,9649.0,Dawaran Shubra,36.7520114363417,3.0,17500.957826829377,5.0,5.0
CTA_1005,1005,CTA_1005_R,Dawaran Shubra,Obour Market-Dawaran Shubra,1,CTA,9649.0,Obour Market,39.457180657800095,3.0,18789.133646571474,5.0,5.0
CTA_1006,1006,CTA_1006_O,Mazallat,Hadaba Wosta (Moqattam)-Mazallat,0,CTA,6778.0,Hadaba Wosta (Moqattam),33.006095718275176,4.0,15717.188437273891,6.0,6.0
CTA_1006,1006,CTA_1006_R,Hadaba Wosta (Moqattam),Mazallat-Hadaba Wosta (Moqattam),1,CTA,6778.0,Mazallat,30.56749596235119,4.0,14555.950458262472,6.0,6.0
CTA_1007,1007,CTA_1007_R,Abd Al Moneim Riad,Masaken Almaza-Abd Al Moneim Riad,1,CTA,4533.0,Masaken Almaza,17.353348859608005,3.0,8263.499456956193,5.0,5.0
CTA_1007,1007,CTA_1007_O,Masaken Almaza,Abd Al Moneim Riad-Masaken Almaza,0,CTA,4533.0,Abd Al Moneim Riad,17.806463901678885,3.0,8479.268524608993,5.0,5.0
CTA_1008,1008,CTA_1008_R,Saqr Quraish,Masaken Al Wehda-Saqr Quraish,1,CTA,5980.0,Masaken Al Wehda,25.09759726265078,3.0,11951.236791738465,5.0,5.0
CTA_1008,1008,CTA_1008_O,Masaken Al Wehda,Saqr Quraish-Masaken Al Wehda,0,CTA,5980.0,Saqr Quraish,25.37360335780416,3.0,12082.668265621029,5.0,5.0
CTA_1009,1009,CTA_1009_O,Masaken Betcho,Attaba-Masaken Betcho,0,CTA,4396.0,Attaba,27.41659583887097,3.0,13055.521828033794,8.0,8.0
CTA_1009,1009,CTA_1009_R,Attaba,Masaken Betcho-Attaba,1,CTA,4396.0,Masaken Betcho,28.22911980261008,3.0,13442.438001242894,8.0,8.0
CTA_1010,1010,CTA_1010_O,Attaba,1st Settlement (New Cairo)-Attaba,0,CTA,10800.0,1st Settlement (New Cairo),35.97969974813681,4.0,17133.19035625562,4.0,4.0
CTA_1010,1010,CTA_1010_R,1st Settlement (New Cairo),Attaba-1st Settlement (New Cairo),1,CTA,10800.0,Attaba,35.091725116742666,4.0,16710.345293686983,4.0,4.0
CTA_1011,1011,CTA_1011_O,Giza Square,Kilo 4.5-Giza Square,0,CTA,2214.0,Kilo 4.5,26.16292475247457,3.0,12458.535596416461,14.0,14.0
CTA_1011,1011,CTA_1011_R,Kilo 4.5,Giza Square-Kilo 4.5,1,CTA,2214.0,Giza Square,26.568778331319127,3.0,12651.79920539006,14.0,14.0
CTA_1021,1021,CTA_1021_R,8th District (Nasr City),Imbaba-8th District (Nasr City),1,CTA,10800.0,Imbaba,29.487706970419318,3.0,14041.765224009197,4.0,4.0
CTA_1021,1021,CTA_1021_O,Imbaba,8th District (Nasr City)-Imbaba,0,CTA,10800.0,8th District (Nasr City),31.25989135608875,3.0,14885.662550518453,4.0,4.0
CTA_1023,1023,CTA_1023_R,Ahmed Helmy,Badr-Ahmed Helmy,1,CTA,967.0,Badr,63.11190231871721,5.0,30053.286818436765,74.0,74.0
CTA_1023,1023,CTA_1023_O,Badr,Ahmed Helmy-Badr,0,CTA,967.0,Ahmed Helmy,66.60975649855436,5.0,31718.931665978263,78.0,74.0
CTA_1025,1025,CTA_1025_O,15th of May,Abd Al Moneim Riad-15th of May,0,CTA,6687.0,Abd Al Moneim Riad,47.34790147986967,5.0,22546.61975231889,8.0,8.0
CTA_1025,1025,CTA_1025_R,Abd Al Moneim Riad,15th of May-Abd Al Moneim Riad,1,CTA,6687.0,15th of May,47.696618587399854,5.0,22712.675517809454,9.0,8.0
CTA_1026,1026,CTA_1026_R,Abd Al Moneim Riad,Hadaba Wosta (Moqattam)-Abd Al Moneim Riad,1,CTA,11796.0,Hadaba Wosta (Moqattam),23.89807196400001,3.0,11380.034268571433,3.0,3.0
CTA_1026,1026,CTA_1026_O,Hadaba Wosta (Moqattam),Abd Al Moneim Riad-Hadaba Wosta (Moqattam),0,CTA,11796.0,Abd Al Moneim Riad,26.573922651294264,3.0,12654.248881568697,3.0,3.0
CTA_1027,1027,CTA_1027_R,Abd Al Moneim Riad,Isbiko-Abd Al Moneim Riad,1,CTA,4643.0,Isbiko,33.35172443302611,3.0,15881.773539536242,9.0,9.0
CTA_1027,1027,CTA_1027_O,Isbiko,Abd Al Moneim Riad-Isbiko,0,CTA,4643.0,Abd Al Moneim Riad,34.269454858737234,3.0,16318.788027970111,9.0,9.0
CTA_1028,1028,CTA_1028_R,Ibrahim Bek,Giza Square-Ibrahim Bek,1,CTA,8982.0,Giza Square,24.14966464036482,3.0,11499.840304935628,4.0,3.0
CTA_1028,1028,CTA_1028_O,Giza Square,Ibrahim Bek-Giza Square,0,CTA,8982.0,Ibrahim Bek,23.56106262391313,3.0,11219.553630434824,3.0,3.0
CTA_103-1094,103-1094,CTA_103-1094_R,Motseian,Attaba-Motseian,1,CTA,8747.0,Attaba,16.33374205067269,3.0,7777.972405082233,3.0,2.0
CTA_103-1094,103-1094,CTA_103-1094_O,Attaba,Motseian-Attaba,0,CTA,8747.0,Motseian,14.329255531051846,3.0,6823.455014786593,2.0,2.0
CTA_1030,1030,CTA_1030_R,Isbiko,Moassasa-Isbiko,1,CTA,5668.0,Moassasa,34.76923454163841,3.0,16556.77835316115,7.0,7.0
CTA_1030,1030,CTA_1030_O,Moassasa,Isbiko-Moassasa,0,CTA,5668.0,Isbiko,33.74580664257818,3.0,16069.431734561038,7.0,7.0
CTA_1031,1031,CTA_1031_O,Imbaba,Masaken Betcho-Imbaba,0,CTA,2190.0,Masaken Betcho,28.39175095521475,4.0,13519.881407245119,15.0,14.0
CTA_1031,1031,CTA_1031_R,Masaken Betcho,Imbaba-Masaken Betcho,1,CTA,2190.0,Imbaba,27.20311950289567,4.0,12953.86642995032,14.0,14.0
CTA_1045,1045,CTA_1045_R,Abbasseya,Moneeb-Abbasseya,1,CTA,5600.0,Moneeb,21.25971699298772,3.0,10123.674758565581,5.0,4.0
CTA_1045,1045,CTA_1045_O,Moneeb,Abbasseya-Moneeb,0,CTA,5600.0,Abbasseya,18.877776573103816,3.0,8989.41741576372,4.0,4.0
CTA_104S,104S,CTA_104S_R,Attaba,Bashtil-Attaba,1,CTA,2437.0,Bashtil,12.708725539481154,3.0,6051.774066419597,6.0,5.0
CTA_104S,104S,CTA_104S_O,Bashtil,Attaba-Bashtil,0,CTA,2437.0,Attaba,10.514273795974132,3.0,5006.797045701967,5.0,5.0
CTA_1053,1053,CTA_1053_R,7th District (Nasr City),Masaken Al Wehda-7th District (Nasr City),1,CTA,9516.0,Masaken Al Wehda,24.152066831497894,3.0,11500.984205475186,3.0,3.0
CTA_1053,1053,CTA_1053_O,Masaken Al Wehda,7th District (Nasr City)-Masaken Al Wehda,0,CTA,9516.0,7th District (Nasr City),24.859355051557735,3.0,11837.788119789397,3.0,3.0
CTA_1057,1057,CTA_1057_R,Kobry El Qubba,Badr-Kobry El Qubba,1,CTA,1362.0,Badr,73.91607019721606,5.0,35198.12866534098,62.0,62.0
CTA_106-1069,106-1069,CTA_106-1069_R,Attaba,Moneeb-Attaba,1,CTA,2789.0,Moneeb,15.125296521523554,3.0,7202.522153106454,7.0,6.0
CTA_106-1069,106-1069,CTA_106-1069_O,Moneeb,Attaba-Moneeb,0,CTA,2789.0,Attaba,14.753029138145447,3.0,7025.251970545451,6.0,6.0
CTA_1063,1063,CTA_1063_R,Zahraa Ain Shams,Attaba-Zahraa Ain Shams,1,CTA,5440.0,Attaba,17.973297503979193,5.0,8558.713097132948,4.0,4.0
CTA_1063,1063,CTA_1063_O,Attaba,Zahraa Ain Shams-Attaba,0,CTA,5440.0,Zahraa Ain Shams,17.029536408806155,5.0,8109.303051812454,4.0,4.0
CTA_1068,1068,CTA_1068_R,Lebanon Square,Abbasseya-Lebanon Square,1,CTA,3876.0,Abbasseya,16.68752825198663,3.0,7946.442024755538,5.0,5.0
CTA_1068,1068,CTA_1068_O,Abbasseya,Lebanon Square-Abbasseya,0,CTA,3876.0,Lebanon Square,17.100624467691556,3.0,8143.15450842455,5.0,5.0
CTA_1072,1072,CTA_1072_O,Mazallat,Abageyah-Mazallat,0,CTA,6098.0,Abageyah,16.39466937006788,3.0,7806.985414318038,4.0,3.0
CTA_1072,1072,CTA_1072_R,Abageyah,Mazallat-Abageyah,1,CTA,6098.0,Mazallat,15.008270030621981,3.0,7146.795252677133,3.0,3.0
CTA_1073,1073,CTA_1073_R,Amr Ibn El Aas,Moassasa-Amr Ibn El Aas,1,CTA,8309.0,Moassasa,21.201812125657973,3.0,10096.101012218081,3.0,3.0
CTA_1073,1073,CTA_1073_O,Moassasa,Amr Ibn El Aas-Moassasa,0,CTA,8309.0,Amr Ibn El Aas,20.146325927744265,3.0,9593.488537021078,3.0,3.0
CTA_1076,1076,CTA_1076_R,Attaba,Moassaset Al Zakah-Attaba,1,CTA,5386.0,Moassaset Al Zakah,24.347844869015518,3.0,11594.21184238834,6.0,6.0
CTA_1076,1076,CTA_1076_O,Moassaset Al Zakah,Attaba-Moassaset Al Zakah,0,CTA,5386.0,Attaba,25.134222251173714,3.0,11968.677262463672,6.0,6.0
CTA_1081,1081,CTA_1081_O,Isbiko,Abd Al Moneim Riad-Isbiko,0,CTA,5138.0,Abd Al Moneim Riad,37.40585254654477,3.0,17812.310736449894,9.0,8.0
CTA_1081,1081,CTA_1081_R,Abd Al Moneim Riad,Isbiko-Abd Al Moneim Riad,1,CTA,5138.0,Isbiko,35.22928007773001,3.0,16775.84765606191,8.0,8.0
CTA_1085,1085,CTA_1085_R,Hadaba Wosta (Moqattam),Bulaq Al Dakrur-Hadaba Wosta (Moqattam),1,CTA,2455.0,Bulaq Al Dakrur,29.828824093971395,3.0,14204.201949510187,14.0,13.0
CTA_1085,1085,CTA_1085_O,Bulaq Al Dakrur,Hadaba Wosta (Moqattam)-Bulaq Al Dakrur,0,CTA,2455.0,Hadaba Wosta (Moqattam),27.26879702770686,3.0,12985.14144176517,13.0,13.0
CTA_1087,1087,CTA_1087_R,Masaken Sheraton,Abou Wafya-Masaken Sheraton,1,CTA,7653.0,Abou Wafya,28.87091908064945,3.0,13748.056705071167,5.0,5.0
CTA_1087,1087,CTA_1087_O,Abou Wafya,Masaken Sheraton-Abou Wafya,0,CTA,7653.0,Masaken Sheraton,29.81445891842278,3.0,14197.361389725133,5.0,5.0
CTA_1088,1088,CTA_1088_R,15th of May,Abbasseya-15th of May,1,CTA,2039.0,Abbasseya,47.48582214316658,5.0,22612.296258650753,27.0,26.0
